titulo;diretor;ano;orcamento;faturamento;nota
Avatar ;James Cameron;2009;237000000;760505847;7,9
Pirates of the Caribbean: At World's End ;Gore Verbinski;2007;300000000;309404152;7,1
Spectre ;Sam Mendes;2015;245000000;200074175;6,8
The Dark Knight Rises ;Christopher Nolan;2012;250000000;448130642;8,5
John Carter ;Andrew Stanton;2012;263700000; 73058679;6,6
Spider-Man 3 ;Sam Raimi;2007;258000000;336530303;6,2
Tangled ;Nathan Greno;2010;260000000;200807262;7,8
Avengers: Age of Ultron ;Joss Whedon;2015;250000000;458991599;7,5
Harry Potter and the Half-Blood Prince ;David Yates;2009;250000000;301956980;7,5
Batman v Superman: Dawn of Justice ;Zack Snyder;2016;250000000;330249062;6,9
Superman Returns ;Bryan Singer;2006;209000000;200069408;6,1
Quantum of Solace ;Marc Forster;2008;200000000;168368427;6,7
Pirates of the Caribbean: Dead Man's Chest ;Gore Verbinski;2006;225000000;423032628;7,3
The Lone Ranger ;Gore Verbinski;2013;215000000; 89289910;6,5
Man of Steel ;Zack Snyder;2013;225000000;291021565;7,2
The Chronicles of Narnia: Prince Caspian ;Andrew Adamson;2008;225000000;141614023;6,6
The Avengers ;Joss Whedon;2012;220000000;623279547;8,1
Pirates of the Caribbean: On Stranger Tides ;Rob Marshall;2011;250000000;241063875;6,7
Men in Black 3 ;Barry Sonnenfeld;2012;225000000;179020854;6,8
The Hobbit: The Battle of the Five Armies ;Peter Jackson;2014;250000000;255108370;7,5
The Amazing Spider-Man ;Marc Webb;2012;230000000;262030663;7,0
Robin Hood ;Ridley Scott;2010;200000000;105219735;6,7
The Hobbit: The Desolation of Smaug ;Peter Jackson;2013;225000000;258355354;7,9
The Golden Compass ;Chris Weitz;2007;180000000; 70083519;6,1
King Kong ;Peter Jackson;2005;207000000;218051260;7,2
Titanic ;James Cameron;1997;200000000;658672302;7,7
Captain America: Civil War ;Anthony Russo;2016;250000000;407197282;8,2
Battleship ;Peter Berg;2012;209000000; 65173160;5,9
Jurassic World ;Colin Trevorrow;2015;150000000;652177271;7,0
Skyfall ;Sam Mendes;2012;200000000;304360277;7,8
Spider-Man 2 ;Sam Raimi;2004;200000000;373377893;7,3
Iron Man 3 ;Shane Black;2013;200000000;408992272;7,2
Alice in Wonderland ;Tim Burton;2010;200000000;334185206;6,5
X-Men: The Last Stand ;Brett Ratner;2006;210000000;234360014;6,8
Monsters University ;Dan Scanlon;2013;200000000;268488329;7,3
Transformers: Revenge of the Fallen ;Michael Bay;2009;200000000;402076689;6,0
Transformers: Age of Extinction ;Michael Bay;2014;210000000;245428137;5,7
Oz the Great and Powerful ;Sam Raimi;2013;215000000;234903076;6,4
The Amazing Spider-Man 2 ;Marc Webb;2014;200000000;202853933;6,7
TRON: Legacy ;Joseph Kosinski;2010;170000000;172051787;6,8
Cars 2 ;John Lasseter;2011;200000000;191450875;6,3
Green Lantern ;Martin Campbell;2011;200000000;116593191;5,6
Toy Story 3 ;Lee Unkrich;2010;200000000;414984497;8,3
Terminator Salvation ;McG;2009;200000000;125320003;6,6
Furious 7 ;James Wan;2015;190000000;350034110;7,2
World War Z ;Marc Forster;2013;190000000;202351611;7,0
X-Men: Days of Future Past ;Bryan Singer;2014;200000000;233914986;8,0
Star Trek Into Darkness ;J.J. Abrams;2013;190000000;228756232;7,8
Jack the Giant Slayer ;Bryan Singer;2013;195000000; 65171860;6,3
The Great Gatsby ;Baz Luhrmann;2013;105000000;144812796;7,3
Prince of Persia: The Sands of Time ;Mike Newell;2010;200000000; 90755643;6,6
Pacific Rim ;Guillermo del Toro;2013;190000000;101785482;7,0
Transformers: Dark of the Moon ;Michael Bay;2011;195000000;352358779;6,3
Indiana Jones and the Kingdom of the Crystal Skull ;Steven Spielberg;2008;185000000;317011114;6,2
Brave ;Mark Andrews;2012;185000000;237282182;7,2
Star Trek Beyond ;Justin Lin;2016;185000000;130468626;7,5
WALL·E ;Andrew Stanton;2008;180000000;223806889;8,4
Rush Hour 3 ;Brett Ratner;2007;140000000;140080850;6,2
2012 ;Roland Emmerich;2009;200000000;166112167;5,8
A Christmas Carol ;Robert Zemeckis;2009;200000000;137850096;6,8
Jupiter Ascending ;Lana Wachowski;2015;176000000; 47375327;5,4
The Legend of Tarzan ;David Yates;2016;180000000;124051759;6,6
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;Andrew Adamson;2005;180000000;291709845;6,9
X-Men: Apocalypse ;Bryan Singer;2016;178000000;154985087;7,3
The Dark Knight ;Christopher Nolan;2008;185000000;533316061;9,0
Up ;Pete Docter;2009;175000000;292979556;8,3
